Nama Usaha;Alamat;Kdkec;Kddesa
ENNY CAROLINA SINURAT;JL.DR.FL.TOBING;Pangururan;Pardomuan I
GORNALI ALVIAN MALAU ;HUTA URAT;Sianjur Mulamula;Sianjur Mula Mula
SEBET LARMA SINAGA;AEK RANGAT RT/RW 000/000 DESA SIGAOL SIMBOLON KEC PALIPI KAB SAMOSIR;Palipi;Sigaol Simbolon
SURYADI SIHOMBING;SIOPAT SOSOR;Pangururan;Siopat Sosor
SAULINA AGNES NAIBAHO;SIGORAT;Ronggur Nihuta;Paraduan
RISTAWATI BR. LUBIS;DUSUN1;Nainggolan;Nainggolan
ELISPARNO TAMBA;SIDALU DALU, PALIPI, PALIPI,;Palipi;Palipi
TETTY NOVA RAJAGUKGUK;SIOPAT SOSOR, SIOPAT SOSOR, PANGURURAN;Pangururan;Siopat Sosor
NATAL PANDEANGAN;HUTA DAME, HUTADAME, PALIPI,;Palipi;Huta Dame
SAKKAMADEHA KREASI SEMESTA;HUTA BARU;Pangururan;Lumban Suhi Suhi Toruan
USDEN MALAU;PINTU BATU;Pangururan;Rianiate
HEPI HENNI MALAU;JL PELABUHAN;Pangururan;Pardomuan I
JUSTIANUS SINAGA;PANAHATAN;Palipi;Simbolon Purba
Jones BAKKARA;Siallagan;Simanindo;Siallagan Pindaraya
JESRIN SIMANIHURUK;SIDABAGAS;Simanindo;Dosroha
PARDOMUAN HALOHO;JLN. DR. F.L TOBING;Pangururan;Pardomuan I
ANRI JOSUA MALAU;SIMARMATA;Simanindo;Simarmata
PONIMIN SIBORO;LUMBAN SIBORO;Ronggur Nihuta;Sijambur
KRISTINA HUTAGAOL;LUMBAN JIOR;Nainggolan;Janji Marapot
YOSE ANDRE SIDABUTAR;DUSUN I BONGBONG;Harian;Hariara Pintu
MANGARIS SIHALOHO;PARBABA DOLOK;Pangururan;Parbaba Dolok
RENGSI MATHILDE SIMBOLON - JUAL JAJAMNAN;SITONGGI-TONGGI;Ronggur Nihuta;Lintong Ni Huta
Nursani tambunan;Jl.dr.f.l Tobing;Pangururan;Pardomuan I
BARBARA GULTOM;JL. DI. PANJAITAN;Pangururan;Pardomuan I
JACKSON SUARDO SILALAHI;JL. EL TOBING;Pangururan;Pardomuan I
SITI OLO RUPINA SIANTURI;SIPINGGAN;Sianjur Mulamula;Bonan Dolok
TIODOR SINAGA;HUTAMARIA;Onan Runggu;Onanrunggu
JAHOLONG SIRAIT;HUTA NAMORA;Pangururan;Huta Namora
HOTMAN SIMBOLON;SIGORAT;Ronggur Nihuta;Salaon Dolok
ERNIDAWATI SIMARMATA;SIMARMATA;Simanindo;Simarmata
SEPNIKE TAMBA;PARSAORAN;Sitio-tio;Parsaoran
JUDIMAN;HUTAURUK-URUK;Pangururan;Huta Namora
JUNIOR JECKSON;BANEARA;Harian;Partungko Naginjang
GRESIA ADELINA PARHUSIP;SAITNIHUTA;Nainggolan;Siruma Hombar
BESLI SAGALA;SIMANAMPANG;Sianjur Mulamula;Bonan Dolok
NARDO PANDIANGAN;PANDIANGAN, HUTADAME, PALIPI,;Palipi;Huta Dame
ERNENTUS SITANGGANG;SUKARAME;Pangururan;Pardomuan Nauli
MANUTUR SINURAT;LUMBAN PEA;Pangururan;Pasar Pangururan
MARIANITA GULTOM;DUSUN III SITAIM;Simanindo;Unjur
HOTMAN SILALAHI;SIALLAGAN-PANDARAYA;Simanindo;Siallagan Pindaraya
AGUS TANDA SITANGGANG;LUMBAN SIPANSA;Pangururan;Sinabulan
EVA KUSENDANG MARLINA;PALIPI;Palipi;Palipi
JUAL HP <OLYMPAS SITORUS>;JL. RONGGUR NIHUTA;Pangururan;Pardomuan I
YOSRI OLIVIA NAIBAHO;JL. DR. FL. TOBING;Pangururan;Pardomuan I
TARULI LASTARINA SIMBOLON;SITANGKARAEN;Pangururan;Pasar Pangururan
OCTO SIDABUTAR;TUKTUK SIADONG;Simanindo;Tuk-Tuk Siadong
WESLI NAIBAHO;AEKHELA, SIMBOLON PURBA, KEC. PALIPI, KAB. SAMOSIR, PROV. SUMATERA UTARA;Palipi;Simbolon Purba
Mariyati zendrato;Bong Bong;Harian;Hariara Pintu
ROMESTI MANIHURUK;ANDALIMAN;Pangururan;Sinabulan
SABAR MENDERITA MANIK;HATOGUAN;Palipi;Hatoguan
HERLEDIS SINAGA;SABULAN;Sitio-tio;Sabulan
ROSENDI MARIANA E.P SITOHANG;PALIPI;Palipi;Palipi
MARUDUT P. Y. SILITONGA;ONANBARU SITINJAK;Onan Runggu;Sitinjak
LUKAS MANGARATUA SINAGA;JL HADRIANUS SINAGA DUSUN III;Pangururan;Pardomuan I
LIFZEN SITANGGANG;SISANGKALAN;Ronggur Nihuta;Salaon Toba
Reliska nainggolan bunti bilson nainggolan;Dusun Perbatsan;Harian;Hariara Pintu
Renni br simbolon;Lumban Simbolon;Pangururan;Parlondut
COSMAS SIRINGORINGO;HOLBUNG;Sitio-tio;Holbung
ANNA M SIDABUTAR;AMBARITA;Simanindo;Ambarita
JOKO MANIK;RONGGUR NIHUTA;Ronggur Nihuta;Ronggur Ni Huta
LISNA BR. SINURAT;SAIT NIHUTA;Pangururan;Lumban Suhi Suhi Dolok
SINUR AMBARITA;LBN SOSOR;Pangururan;Siogung - Ogung
BOY ALDO SINAGA;Lumbanhariara;Onan Runggu;Harian
LINCE SIMBOLON;PANJAITAN;Pangururan;Sianting - Anting
NAGATUA SIMANJORANG;HASINGGAAN;Sianjur Mulamula;Hasinggahan
TARIDA TAMPUBOLON;OPPURATUS;Palipi;Palipi
PARNINGOTAN SIHALOHO;SUHUT NIHUTA;Pangururan;Rianiate
JANSON NAIBAHO;AEK RANGAT ;Pangururan;Siogung - Ogung
SAUT MARTUA TAMBA;TAMBA DOLOK;Sitio-tio;Tamba Dolok
TOURISMA SIMBOLON;TAMBANGAN;Harian;Sosor Dolok
IDAYANTI SINAGA;HARIAN BOHO, TURPUK LIMBONG, HARIAN;Harian;Turpuk Limbong
ADVENTUS SINAGA;Sosor Pasir;Nainggolan;Sinaga Uruk Pandiangan
HUMISAR SIDABUTAR;tuktuk PULO;Simanindo;Tuk-Tuk Siadong
JULITA SARI EVALYNA SINAGA;HATOGUAN;Palipi;Hatoguan
PARULIAN ULUAN ROMAULI;Hutagalung;Harian;Hutagalung
RONAULI GULTOM;BANJAR SELAMAT;Onan Runggu;Huta Hotang
LENSIKA SIAHAAN;LUMBAN SIAHAAN;Onan Runggu;Sipira
LILI JUNIANTO;GORAT;Palipi;Gorat Pallombuan
JOHANNES GALANG TARIHORAN;HARIARA PINTU;Harian;Hariara Pintu
Ida sipayung;Bong Bong;Harian;Hariara Pintu
INDUSTRI LOGAM <ESDIN TUMANGGOR>;SAITNIHUTA, SAITNIHUTA, PANGURURAN;Pangururan;Sait Ni Huta
ZAINAL AMBRI;PATUAN ANGGI;Pangururan;Pasar Pangururan
HELIDA SILALAHI;BATO BOLON;Simanindo;Hutaginjang
POPDI SEMELANDU LUMBANRAJA;LUMBAN SIRIHIT;Onan Runggu;Harian
PUTRI ELISABETH SITANGGANG;SIIGAR-IGAR;Pangururan;Rianiate
JUWITA MARDIANA NAIBAHO;SIPARLE-ALE;Pangururan;Pardomuan I
RAMA DANI;JL RONGGUR NIHUTA;Pangururan;Pardomuan I
Betti j habeahan;Dusun L Bong Bong;Harian;Hariara Pintu
POSMA R. SITOHANG;LUMBAN PASIR, PALIPI;Palipi;Palipi
RATNA SARI ;PARSAORAN 1;Pangururan;Parsaoran I
POLMA HASEHATON GURNING;TIGA URAT;Pangururan;Parlondut
MASTARIA SIMARMATA;SUKA RAMAI;Pangururan;Pardomuan Nauli
MAWAN MARBUN;SABA LANGIT;Palipi;Sigaol Marbun
NAMARBAJU <RISKI VANNI SIMBOLON>;JALAN DI. PANJAITAN;Pangururan;Pardomuan I
CHARLES BACTIAR SIDABUTAR;LUMBAN PARMONANGAN;Simanindo;Martoba
SRI SARI REJEKI SIRINGORINGO;HOLBUNG;Sitio-tio;Holbung
MIAN SITANGGANG;LUMBAN SINAGA;Simanindo;Parbalohan
JUAL AYAM <MAX DONALD SITUMORANG>;SOSOR DAME;Simanindo;Hutaginjang
TOGAR SIBORO;PALLIMUTAN;Pangururan;Pintusona
IPAN PAKPAHAN;SOSOR MATIO;Onan Runggu;Pardomuan
SRI KARTIKA TAMBA;AEK DOLOK;Harian;Janji Martahan
ROSMAIDA RUMAHORBO;SIULAK HOSA;Palipi;Sigaol Marbun
HASNA HENRI MAITO SIHOTANG;Labuhan Raut Bosi;Simanindo;Cinta Dame
WASHINTON SITUMORANG;UNJUR;Simanindo;Unjur
MIKAEL NAIBAHO;SIBUNTUON;Ronggur Nihuta;Sijambur
NOVIYANTILUSIANA SIMANJUNTAK; HUTA SITALLAK;Pangururan;Lumban Pinggol
Hefti sinaga;Hariara Pintu;Harian;Hariara Pintu
TIKKOS NAIBAHO;AEK NAULI;Pangururan;Aek Nauli
Mariska romauli simarmata;Perbatasan;Harian;Hariara Pintu
ALPEN SIMBOLON;SAMPE HORAS;Palipi;Sigaol Marbun
MISKAEL MARULI SAMOSIR;JL. INPRES;Simanindo;Tuk-Tuk Siadong
ROMBIONO SINAGA;HOLBUNG;Sitio-tio;Holbung
IRMA SITANGGANG;SITANGGANG BAU;Pangururan;Parsaoran I
ERIK SANDO SILALAHI;SILALAHI;Pangururan;Pardomuan I
APRINO BR SINAGA;SIMANJORANG;Harian;Turpuk Limbong
AGUSTIANI SITIO;JALAN SILIMATALI ;Simanindo;Garoga
OLOAN SINAGA;PALLOMBUAN, PALLOMBUAN, PALIPI,;Palipi;Pallombuan
RESTU ANANTA BERLAN;Sisonak II Desa Turpuk Limbong, Kecamatan Harian, Kabupaten Samosir Provinsi Sumatera Utara;Harian;Turpuk Limbong
DAVID SILABAN;SIOPAT SOSOR;Pangururan;Siopat Sosor
RUDDIMAN SIBATUARA;PEA BINTANG;Onan Runggu;Sipira
YOHANA ULANDARI SINAGA;Lumban Sinaga ;Pangururan;Lumban Suhi Suhi Toruan
BOSLEN SIBORO;GINOLAT,GINOLAT,SIANJUR MULA-MULA;Sianjur Mulamula;Ginolat
SIMON SINURAT;SIBARGOT;Ronggur Nihuta;Sijambur
JAIMAN PANDIANGAN;LUMBAN PANDE, HUTADAME, PALIPI,;Palipi;Huta Dame
HOTNA PASARIBU;JANJIMARTAHAN,JANJIMARTAHAN,HARIAN, ;Harian;Janji Martahan
GRESIA FINDRIANY SIHOTANG;SOSOR BULU, CINTA DAME,SIMANINDO;Simanindo;Cinta Dame
DHARMAWAN ASMARA SOFIAN ;JL. SIMANINDO LUMBAN SI BABIAT;Pangururan;Panampangan
YANI PUTRI SIMBOLON;HUTA NAMORA;Pangururan;Huta Namora
GOKSARI NADEAK - MISOP;LINTONGNIHUTA;Ronggur Nihuta;Lintong Ni Huta
ERIKA HUTASOIT;SUMATERA UTARA;Harian;Turpuk Sagala
DEDI HARIANTO SIREGAR;SITAHUAN;Onan Runggu;Harian
RONAULI SIMANIHURUK;LUMBAN BOLON;Pangururan;Parhorasan
ESRON SIHOTANG;SIBARA-BARA;Harian;Turpuk Sihotang
JALENTAR TAMBA;PARSAORAN;Sitio-tio;Parsaoran
MISGIANTO PARHUSIP;MARIARAJA, SIBONOR OMPU RATUS;Nainggolan;Sibonor Ompu Ratus
PARHORASAN SIMBOLON;LUMBAN URUK;Palipi;Simbolon Purba
ALEX CORPORASI MULTIFUNGSI;Jl. Sisingamangaraja No. 65;Pangururan;Pasar Pangururan
Novalina situmorang;Sitalametang;Pangururan;Pintusona
GEMBIRA SINAGA;JL. HUTABOLON;Simanindo;Tomok
TIERNAWI NAINGGOLAN;SITIO;Simanindo;Tomok Parsaoran
VERAWATY;PETAK;Palipi;Palipi
SOFIAN BERTUA SIMBOLON;LUMBAN SILALAHI;Pangururan;Pintusona
DARMA SITUMORANG;BUNTU MAULI;Simanindo;Tanjungan
NOMI INDRA SITINJAK;SABULAN;Sitio-tio;Sabulan
PUTRI SINAGA;LUMBAN TONGA-TONGA;Onan Runggu;Sitamiang
JOSMAR DANIEL SINAGA;BANEARA;Harian;Partungko Naginjang
MIKHA ETHEREAL, CV;JALAN HADRIUANUS SINAGA;Pangururan;Pintusona
MANIRU PETRUS PANDIANGAN;LUMBAN PANDIANGAN;Simanindo;Parmonangan
PARGAULAN MANALU;HUTAGALUNG DESA DOSROHA;Simanindo;Dosroha
BULAT HASIHOLAN HADRIANUS SIHOLE;PARPASIR,BOHO,SIANJUR MULA-MULA;Sianjur Mulamula;Boho
SANRO ELI MULYADI SITANGGANG;JL SIMANINDO GUMBA DUSUN III;Pangururan;Parsaoran I
ELSE BR SITANGGANG;LUMBAN SUHI SUHI TORUAN ;Pangururan;Lumban Suhi Suhi Toruan
BERLIANA PASARIBU;GONTING;Onan Runggu;Pardomuan
DEDI SIPAKKAR;LUMBAN SITUMORANG;Simanindo;Dosroha
DEDDY SIMANJORANG;SIAMBALO;Pangururan;Huta Namora
PARLINDUNGAN SAMOSIR;ONAN RUNGGU;Onan Runggu;Onanrunggu
HOTNEL SIALLAGAN;SOSOR GALUNG;Simanindo;Tuk-Tuk Siadong
MESTIKA DEWI SIHOTANG;SISONAK;Harian;Dolok Raja
MARTA SILALAHI;SOSOR BULU;Simanindo;Cinta Dame
EDI PUTRA SITUMORANG;PANGKUALA;Nainggolan;Pasaran Parsaoran
LAMTIAR NAIBAHO;LUMBAN SILALAHI;Pangururan;Pintusona
ERIKA LUMBANTUNGKUP;PEA NABOLAK;Onan Runggu;Sipira
DAMAYANTI;KAMPUNG ULOS HUTARAJA DUSUN 2 NO 157, DESA LUMBAN SUHI-SUHI TORUAN, HUTARAJA, SAMOSIR;Pangururan;Lumban Suhi Suhi Toruan
BOI FASIUS SIMARMATA;SOSOR HUTA URUK;Simanindo;Sihusapi
WIDI YANTO LIMBONG;PEABANG;Sianjur Mulamula;Boho
HERTA ULI SAGALA;JL GEREJA NO 14 RT 000 RW 000;Pangururan;Pasar Pangururan
HOTRYA NURHAYATY SIMBOLON;SINABULAN;Pangururan;Sinabulan
TAMAN KANAK-KANAK AGAPE;mogang;Palipi;Pallombuan
DINER SIMARMATA;SIMARMATA;Simanindo;Simarmata
AWI DANIEL SIMAMORA;JL. KOL. LIBERTY MALAU;Pangururan;Pardomuan I
TUMBUR JAKOBET SINURAT;SOSOR GAMBIRI;Ronggur Nihuta;Ronggur Ni Huta
LASMARIA SITANGGANG;LUMBAN HARIARA;Pangururan;Pardomuan I
JELITA TAMBUNAN;SOSOR MATIO;Simanindo;Tomok Parsaoran
JANNEN SIGALINGGING;BATO BOLON;Simanindo;Hutaginjang
VERAWATY MALAU;SIMANINDO, DESA SIMANINDO, KEC SIMANINDO;Simanindo;Simanindo
MARINGANTUA TAMBA;LUMBAN TAMBA;Ronggur Nihuta;Sijambur
FERRY RUDI HARTONO SINAGA;HUTA LUMBAN LINTONG, URAT II, PALIPI;Palipi;Urat II
GOKLAS HUTABALIAN;SITAMIANG;Onan Runggu;Pardomuan
RUGUN NARMA SIMBOLON;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
FEBRIANI MONITA SITANGGANG;HARIARA TOLU;Pangururan;Parsaoran I
LAMBOK SIMBOLON;SITALAMETANG;Pangururan;Pintusona
SURYANI DALIMUNTE;LUMBAN BATU PASAR;Simanindo;Cinta Dame
SIMON GULTOM;SIAMPANG;Onan Runggu;Janji Matogu
JHON PITER PASARIBU;JL.PELABUHAN;Pangururan;Pardomuan I
HOTNAULI SINURAT;HUTA BOLON;Pangururan;Lumban Suhi Suhi Dolok
RAFIKA YOSTANI F. SIMARMATA;NAINGGOLAN;Nainggolan;Nainggolan
PRISKA SIMANIHURUK;HUTA BOLON;Pangururan;Lumban Suhi Suhi Dolok
RULLI AFRIDA TURNIP;LUMBAN MARINGAN;Simanindo;Cinta Dame
ELMA NOVASARI HIA;GURNING;Simanindo;Tomok Parsaoran
HARKARTO NAINGGOLAN;SIBORO;Sianjur Mulamula;Siboro
KONTA SIBATUARA;HOLBUNG;Sitio-tio;Holbung
ASNI NOMI GULTOM;GALUNG DUSUN 1;Pangururan;Huta Namora
ELIAS CANSERIO SINURAYA;JL. DI. PANJAITAN;Pangururan;Pardomuan I
ERIJON MARHAPOSAN SINAGA;JL. KOL. LIBERTY MALAU;Pangururan;Pardomuan I
FRI WAHYU SINURAT;TANJUNG BUNGA;Pangururan;Tanjung Bunga
BOLE NAIBAHO;PANDUMPASAN;Pangururan;Rianiate
HASIHOLAN SINAGA;SITATAR;Palipi;Pardomuan Nauli
PESTARIA RUMAPEA;UPA SUHUT;Palipi;Sigaol Marbun
Lomoria sitinjak;Hutagalung;Harian;Hutagalung
NURPINA SIMARMATA;LUMBAN SUHI-SUHI TORUAN;Pangururan;Lumban Suhi Suhi Toruan
AYU HARIANJA;BUNTU PASIR;Onan Runggu;Onanrunggu
MONIKA SITUMORANG;HUTA RAJA;Pangururan;Lumban Suhi Suhi Toruan
UDURAN II SINAGA;SUHUT NIHUTA;Nainggolan;Sibonor Ompu Ratus
DEDI HENDRAMANTO SIAHAAN;UPAHODA;Pangururan;Pardomuan I
RISNAULI SINAGA;TANJUNGAN;Simanindo;Tanjungan
POLTAK SARITUA SAGALA;SIMARMATA;Simanindo;Simarmata
HENDI NAIBAHO;TANJUNG BUNGA;Pangururan;Tanjung Bunga
KARISMAWATY SINURAYA;HUTA SIPAKKAR NO.132;Pangururan;Huta Bolon
SAUT LAMHOT M HUTABALIAN;NAINGGOLAN;Nainggolan;Siruma Hombar
HITLER SILALAHI;PULO;Simanindo;Tuk-Tuk Siadong
NETTY HANDAYANI LIMBONG;SITALAMETANG;Pangururan;Pintusona
DAVID SINURAT;SOSOR SINURAT;Ronggur Nihuta;Salaon Toba
DONAL ALMANTO SINAGA;NAINGGOLAN;Nainggolan;Nainggolan
RISMA SIHALOHO;LUMBAN SARAGIH;Pangururan;Siopat Sosor
TONNY PILIANG;JL. DR. HADRIANUS SINAGA;Pangururan;Pardomuan I
HOTMAN SINAGA;BARISAN GEREJA, SAOR NAULI HATOGUAN, PALIPI, ;Palipi;Saornauli Hatoguan
NENSI LURI ANDO SINAGA;SOSOR SINAGA;Pangururan;Parmonangan
RUMAH MAKAN <HADRIANA SITUMORANG>;JL. PUTRI LOPIAN;Pangururan;Pardomuan I
JUSPENDI LUMBAN RAJA;GORAT;Palipi;Gorat Pallombuan
HOTMAN LUMBAN TUNGKUP;PARLUASAN;Nainggolan;Siruma Hombar
WILLIAM FERDINAN SIMBOLON;Tigaurat ;Pangururan;Parlondut
JUSTINA BR TARIGAN;LUMBAN BONA-BONA;Pangururan;Siopat Sosor
BUHA PARULIAN MALAU;MALAU;Palipi;Simbolon Purba
MANATAR SINAGA;OMPURATUS;Nainggolan;Sibonor Ompu Ratus
Tiru Tarsisia Ambarita;Tuktuk Siadong;Simanindo;Tuk-Tuk Siadong
KIENNEDY SITANGGANG;JL. F.L TOBING;Pangururan;Pardomuan I
WALDEMAN SILALAHI;SITENGGAL-TENGGAL;Simanindo;Marlumba
RAYMUNDUS MANIK;SAOR NAULI HUTAGUAN, SAOR NAULI HUTAGUAN, PALIPI, ;Palipi;Saornauli Hatoguan
KADIM SINAGA;SIBAGANDING;Nainggolan;Sibonor Ompu Ratus
PARDOMUAN SIAHAAN;LBN. SIAHAAN;Onan Runggu;Sipira
NIKO SAPUTRA SIHOTANG;KOMP PENGAIRAN;Pangururan;Sianting - Anting
HELGA ERIKA SIMBOLON;LBN.SIMBOLON;Pangururan;Parlondut
PAHALA PARULIAN SIMBOLON;JLN. SISINGAMANGARAJA NO. 41;Pangururan;Pasar Pangururan
BERLIANA NADEAK;PALLIMUTAN;Pangururan;Pintusona
MG EINSTEIN RUMAHORBO;SOSOR GAMBIR;Simanindo;Garoga
ESTHER PURNAMA RIA SIHOMBING;NAINGGOLAN;Nainggolan;Nainggolan
YOHAN PASSARIANDO;HUTA BOLON, TOMOK, SIMANINDO;Simanindo;Tomok
NURHAIDA RAJAGUKGUK;SOSOR NAHORNOP;Palipi;Gorat Pallombuan
RANI MANURUNG;AMBULA;Onan Runggu;Silima Lombu
PANGIHUTAN SIHOTANG;HOLANG HOLANG;Pangururan;Sitolu Huta
SENTRA IKM KOPI SAMOSIR;SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
NOPRIN GEOPANI MALAU;JLSIMANINDO;Pangururan;Parsaoran I
RENUVI ARITONANG;LUMBAN PANSUR;Pangururan;Sait Ni Huta
JANNES PANDIANGAN;SABULAN;Sitio-tio;Sabulan
SESILIA SINAGA;Sitare tareon;Pangururan;Lumban Suhi Suhi Dolok
EVI JULIANTI NAPITUPULU;LUMBAN SITOHANG;Simanindo;Tanjungan
PERONIKA SIPAYUNG;Raut Bosi;Simanindo;Cinta Dame
PATAR  SIRINGORINGO;HOLBUNG;Sitio-tio;Holbung
LIASRI HERTIKA F SITANGGANG;GOLAT BARAT;Harian;Janji Martahan
TIARULI NADEAK;TAHUAN;Pangururan;Pardomuan I
DORNA CITRA MARITO LUMBANSIANTAR;LUMBAN SIANTAR;Nainggolan;Sipinggan Lumban Siantar
NURLIANA M. SAGALA;HASINGGAAN;Sianjur Mulamula;Hasinggahan
TOMBUS LUMBANTORUAN;LUMBAN SINABANG;Pangururan;Lumban Suhi Suhi Toruan
RESTARINA SITANGGANG;DUGUL SIANTAR;Ronggur Nihuta;Salaon Toba
BILSON SIDABUTAR;PANGAMBATAN;Simanindo;Tomok
JONDIHER WALTERUS TURNIP;BATU PORHIS;Simanindo;Maduma
RANTO LEOPOLISA HUTABARAT;simbalo,hutanamora;Pangururan;Huta Namora
KRISTIN FLORENSIA SINAGA;SINABULAN URUK;Pangururan;Sinabulan
BARINGIN GURNING - PENGEPUL HASIL PERTANIAN;PARADUAN;Ronggur Nihuta;Paraduan
JUAL FURNITUR <FEBRY ANDRYAN TAMBUNAN>;LUMBAN BARAGAS;Nainggolan;Pangaloan
SAUDARA SITINJAK;SOSORTALA;Onan Runggu;Huta Hotang
ALJUN P. SILALAHI;TARABUNGA;Palipi;Simbolon Purba
ROSMA SIDABUTAR;SOSOR BATU;Onan Runggu;Pakpahan
JINAR SITUMORANG;Huta Tinggi jln Ronggur Nihuta;Pangururan;Huta Tinggi
Nelli marlina sianturi;Harihara Pintu;Harian;Hariara Pintu
Risda naibaho;Siyanggang Bau;Pangururan;Parsaoran I
BUNGANA SINAGA;HATOGUAN, ;Palipi;Hatoguan
NURHAYATI SINAGA;RIANIATE;Pangururan;Rianiate
PARDON MEPATIOROHA LUMBANRAJA;BANJAR TONGA;Onan Runggu;Harian
JINTAR SITUMORANG;PEATOLONG;Pangururan;Sinabulan
JUMALATUA SILALAHI;TUKTUK SIADONG ;Simanindo;Tuk-Tuk Siadong
JEMERLIN SIHOTANG;LUMBAN HARIARA;Palipi;Palipi
WINDA APRILLIA SARI SITANGGANG;LONTUNG;Simanindo;Parmonangan
SUMONDANG TABITA NAINGGOLAN;HARIARA TOLU;Pangururan;Parsaoran I
TIMBUL SIHOTANG ;TOLPING ;Simanindo;Martoba
DESMI SIRAIT;BUNTU PEA;Simanindo;Maduma
ROY PETRUS SILALAHI;JALAN RAYA SIMANINDO;Pangururan;Sianting - Anting
VERONICA HERNAWATY SIBURIAN;SIAMBALO;Pangururan;Huta Namora
RIKKY SASTRY NAIBAHO;SILOBUON;Pangururan;Lumban Pinggol
GERMAN HENRIKUS SITANGGANG;LUMBAN DOLOK, TOMOK PARSAORAN, SIMANINDO;Simanindo;Tomok Parsaoran
LIBERTUS SIMANIHURUK;LUMBAN GANDA;Pangururan;Lumban Suhi Suhi Dolok
JHONTER SINAGA;JL. RONGGUR NIHUTA;Pangururan;Pardomuan I
PATHRESIA WILDA SITANGGANG;PARDUGUL, PARDUGUL, PANGURURAN;Pangururan;Pardugul
ANJU SINAGA;SIUNTE GODANG;Palipi;Urat II
PARNINGOTAN LIMBONG;JL. KOL LIBERTY MALAU;Pangururan;Pardomuan I
SUMURUNG SIMARMATA;SIMARMATA;Harian;Hariara Pohan
PIERMEN ESTERIUS SITANGGANG;TANJUNG BUNGA;Pangururan;Tanjung Bunga
JUNI FRISKA SIAGIAN;TANJUNGAN;Simanindo;Tanjungan
SIHOR SITUMORANG;SABULAN;Sitio-tio;Sabulan
TOMU JUNITA HUTASOIT;Malau;Simanindo;Cinta Dame
ANJELINA MARGARETHA SITINJAK;SIPINGGAN,PARDOMUAN I;Pangururan;Pardomuan I
BUDI BINTANG L SIMBOLON;JL. DR.HADRIANUS SINAGA;Pangururan;Pintusona
SWANDO SINAGA;JL, LUMBAN SAMOSIR;Simanindo;Tomok Parsaoran
PAHALA SIRAIT;JL. SIMANINDO;Pangururan;Sait Ni Huta
TIOMINAR SINAGA;SITUNGKIR;Pangururan;Situngkir
KOMBI SINAGA;LBN SINAGA;Harian;Turpuk Limbong
MANGOLOI SIHALOHO;LUMBAN SINAPITU;Pangururan;Huta Bolon
SAURMA SIMBOLON;JL. PULO SAMOSIR NO. 5;Pangururan;Pasar Pangururan
SUFRIANTO SINAGA;TUKTUK SIADONG;Simanindo;Tuk-Tuk Siadong
MARTIN PAHOTAN SIAHAAN;GALA GALA;Simanindo;Simanindo Sangkal
ADE RUHIAT;PARJONGGI, KECAMATAN PANGURURAN, DESA PARDOMUAN I, KABUPATEN SAMOSIR;Pangururan;Pardomuan I
BERESMAN SIHOLE;SIOPAT SOSOR;Pangururan;Siopat Sosor
SEVRY YANRI MARBUN;SABULAN;Sitio-tio;Sabulan
CORRYA JANE SIHOMBING - TAMBAL BAN;LINTONG NIHUTA;Ronggur Nihuta;Lintong Ni Huta
POLTAK SITANGGANG;PAHODA;Pangururan;Panampangan
KASMAN NAIBAHO;PASAR DAME;Ronggur Nihuta;Sijambur
MARIDEN LIMBONG;SIMANAMPANG;Harian;Turpuk Limbong
JANNUS LUMBAN RAJA;GUMBA;Nainggolan;Toguan Galung
STEPANUS RAHMAT MERDEKA SITUMORANG;RANSANGBOSI, BUNTUMAULI ;Sitio-tio;Buntu Mauli
ERNY LIJAH SITUMORANG;LUMBAN LINTONG;Palipi;Suhut Nihuta Pardomuan
Marlina lumban gaol;Hariara Pintu;Harian;Hariara Pintu
Estalia anjelina naibaho;Sitanggang Bau;Pangururan;Parsaoran I
MARADUH LIMBONG;AEK MATANA;Harian;Turpuk Limbong
MURNI SIADARI;PANDAN;Simanindo;Tuk-Tuk Siadong
TORKIS JOEL SIMBOLON;JL KOL LIBERTY MALAU;Pangururan;Pardomuan I
UPAR SITUMORANG;SITAHURU;Palipi;Sideak
KELOMPOK BERMAIN (KB) EKKLESIA VICTORY;LOBUTUA;Palipi;Saornauli Hatoguan
SAHAT RONI SINAGA;BANEARA,PARTUNGKONAGINJANG,HARIAN, ;Harian;Partungko Naginjang
MARBETA SAUDUR SIANIPAR;PINTUSONA;Pangururan;Pintusona
RAFLES SINURAT;RONGGUR NIHUTA;Ronggur Nihuta;Ronggur Ni Huta
KARAOKE <HERMANTO T SIHOTANG>;NAGA TIMBUL;Pangururan;Parhorasan
Johanris Rapael Gultom;Baringin;Onan Runggu;Huta Hotang
HOTNA SIDAURUK;DESA SIMANINDO;Simanindo;Simanindo
Desina uli manalu;Huta Simbolon;Pangururan;Tanjung Bunga
BADATAR JANNES NAIBAHO;PALLIMUTAN;Pangururan;Pintusona
ALDEN SIHOTANG;BONAN DOLOK;Harian;Sampur Toba
ROBBY P.L. SITORUS;MARIARAJA;Palipi;Saornauli Hatoguan
ROLIANNA SEMBIRING;RONGGUR NIHUTA;Ronggur Nihuta;Ronggur Ni Huta
RONNI SITOMPUL;SIPINGGAN LUMBAN SIANTAR;Nainggolan;Sipinggan Lumban Siantar
